id,market,survey_date,customer_name,month,quarter,rating
2233,UK,5/9/21,Kyle Scott,9,3,9
2234,UK,17/03/2021,Virginia Douglas,3,1,7
2235,US,23/12/2021,Margaret Martin,12,4,6
2236,US,18/11/2021,Ryan Washington,11,4,9
2237,US,5/5/21,Elizabeth Brooks,5,2,1
2238,UK,1/6/21,Jamie Mcguire,6,2,0
2239,US,12/5/21,Laura Joyce,5,2,10
2240,US,31/05/2021,Chelsea Burton,5,2,1
2241,US,25/10/2021,Katrina Taylor,10,4,10
2242,MEX,17/01/2021,Joshua Austin,1,1,10
2243,UK,16/11/2021,Vickie Sutton,11,4,9
2244,US,13/07/2021,Yolanda Blevins,7,3,8
2245,US,8/2/21,Krystal Chavez,2,1,10
2246,MEX,21/02/2021,Todd Hardin,2,1,10
2247,UK,21/05/2021,Michael Cooper,5,2,10
2248,UK,24/10/2021,Ruben Johnson,10,4,10
2249,UK,25/06/2021,Reginald Roberts,6,2,8
2250,UK,12/5/21,Mary Jones,5,2,8
2251,MEX,26/06/2021,Elizabeth Hill,6,2,1
2252,UK,4/3/21,Isabella Washington,3,1,10
2253,UK,21/12/2021,Leslie Smith,12,4,6
2254,UK,17/12/2021,Andrea Flores,12,4,3
2255,MEX,12/4/21,Erica Parsons,4,2,10
2256,UK,27/08/2021,Darryl Stevens,8,3,2
2257,US,13/07/2021,Jodi Hampton,7,3,9
2258,MEX,8/5/21,Michael Hays,5,2,5
2259,US,16/07/2021,Sara Black,7,3,0
2260,MEX,15/06/2021,Robert Davis,6,2,0
2261,US,27/11/2021,Meredith Patton,11,4,0
2262,MEX,19/06/2021,Scott Lucas,6,2,8
2263,MEX,17/06/2021,Tiffany Bean,6,2,8
2264,MEX,6/12/21,Matthew Rogers,12,4,10
2265,US,8/5/21,Courtney Butler,5,2,9
2266,US,27/01/2021,Justin Romero,1,1,10
2267,US,28/07/2021,Lisa Jimenez,7,3,6
2268,MEX,14/06/2021,Aaron Cooper,6,2,5
2269,MEX,24/02/2021,Dustin Curtis,2,1,8
2270,UK,16/07/2021,Jennifer Wade,7,3,2
2271,US,10/9/21,Daniel Cunningham,9,3,8
2272,UK,20/12/2021,James Acosta,12,4,8
2273,MEX,29/12/2021,Pamela Thomas,12,4,10
2274,US,21/06/2021,Michelle Khan,6,2,8
2275,MEX,28/04/2021,Jon Hall,4,2,0
2276,US,4/1/21,Alyssa Moore,1,1,8
2277,UK,23/01/2021,Angela Barton,1,1,8
2278,US,10/7/21,Mr. Charles Zamora,7,3,10
2279,MEX,26/11/2021,Beth Rubio,11,4,4
2280,MEX,19/03/2021,Daniel White,3,1,8
2281,MEX,20/04/2021,Brian Hernandez,4,2,0
2282,UK,28/04/2021,Tammy Gilmore,4,2,10
2283,MEX,22/10/2021,Jackson Obrien,10,4,10
2284,US,9/4/21,Joshua Ramirez,4,2,9
2285,MEX,10/4/21,Megan Love,4,2,8
2286,MEX,30/05/2021,Riley Tucker,5,2,10
2287,MEX,5/3/21,Cynthia Walker,3,1,10
2288,US,6/9/21,Thomas Kelly,9,3,1
2289,US,14/08/2021,Michelle Walker,8,3,10
2290,MEX,21/03/2021,Edward Burch,3,1,0
2291,US,13/07/2021,Annette Duncan,7,3,8
2292,US,18/04/2021,Maria Torres,4,2,10
2293,UK,9/2/21,Vincent Flores,2,1,10
2294,MEX,7/9/21,Lisa Lawrence,9,3,8
2295,US,31/03/2021,Kevin Johnston,3,1,10
2296,MEX,25/11/2021,Joseph Alvarez,11,4,8
2297,MEX,23/01/2021,Charles Carpenter,1,1,6
2298,US,5/11/21,John Arnold,11,4,7
2299,UK,24/10/2021,Taylor Young,10,4,0
2300,UK,18/11/2021,Robin Rodgers,11,4,8
2301,MEX,24/02/2021,Krista Salazar,2,1,10
2302,MEX,28/07/2021,Matthew Rodriguez,7,3,9
2303,US,6/7/21,Jennifer Nichols,7,3,10
2304,US,7/2/21,Martin Lewis,2,1,8
2305,US,14/11/2021,Eduardo Smith,11,4,9
2306,UK,14/12/2021,Brian Evans,12,4,8
2307,MEX,14/08/2021,Cynthia Johnson,8,3,10
2308,MEX,2/10/21,Gabriel Short,10,4,8
2309,UK,25/09/2021,Michael Burnett,9,3,10
2310,US,21/01/2021,Adam Wall,1,1,5
2311,UK,24/07/2021,Sierra Little,7,3,5
2312,UK,20/11/2021,Linda Mckay,11,4,10
2313,UK,9/1/21,Debbie Ho,1,1,10
2314,UK,27/11/2021,Margaret Park,11,4,10
2315,US,25/09/2021,Rebecca Reynolds,9,3,9
2316,UK,10/5/21,Courtney Walker,5,2,8
2317,UK,2/5/21,Tyler Johnson,5,2,5
2318,MEX,3/12/21,Larry Mcmahon,12,4,1
2319,MEX,3/10/21,Suzanne Navarro,10,4,7
2320,MEX,26/12/2021,Jessica Roberson,12,4,10
2321,MEX,9/10/21,William Knapp,10,4,8
2322,UK,2/2/21,William Thornton,2,1,7
2323,US,11/9/21,Marcus Madden,9,3,10
2324,MEX,3/11/21,Crystal Ortiz,11,4,9
2325,US,12/6/21,Ms. Penny Little,6,2,2
2326,US,3/1/21,Ryan Hart,1,1,10
2327,MEX,6/11/21,Jessica Ochoa,11,4,10
2328,US,21/08/2021,Mark Scott,8,3,0
2329,UK,1/11/21,Stephanie Lane,11,4,7
2330,UK,23/08/2021,Scott Velazquez,8,3,5
2331,US,5/2/21,John Holmes,2,1,10
2332,UK,29/06/2021,Hannah Jones,6,2,9
2333,US,23/05/2021,Jacob Young,5,2,10
2334,US,9/1/21,Anna Alvarado,1,1,0
2335,MEX,31/01/2021,Kristi Jacobs,1,1,8
2336,UK,16/11/2021,Michelle Vega,11,4,9
2337,UK,23/11/2021,Eric Clark,11,4,4
2338,MEX,12/12/21,Rachel Stephenson,12,4,9
2339,US,10/4/21,Stacey Park,4,2,10
2340,MEX,29/09/2021,Cathy Brown,9,3,3
2341,US,2/4/21,Patrick Klein,4,2,8
2342,UK,11/5/21,Luis Matthews,5,2,0
2343,UK,24/07/2021,Steven Eaton,7,3,10
2344,US,13/04/2021,Brittany Williams,4,2,9
2345,US,20/10/2021,William Brown,10,4,10
2346,UK,12/8/21,Kelly Cox,8,3,10
2347,UK,9/10/21,Jesse Bush,10,4,8
2348,UK,19/10/2021,Crystal Rivera,10,4,5
2349,MEX,4/9/21,Jamie Garner,9,3,9
2350,MEX,10/3/21,Nicholas Goodwin,3,1,0
2351,US,20/03/2021,Travis Liu,3,1,8
2352,UK,13/11/2021,Karen Harrell,11,4,9
2353,MEX,6/1/21,Joseph Miller,1,1,9
2354,UK,25/06/2021,Jessica Nguyen,6,2,9
2355,US,6/12/21,Ian Curry,12,4,10
2356,UK,7/3/21,Lisa Espinoza,3,1,8
2357,UK,20/04/2021,John Castillo,4,2,6
2358,US,28/08/2021,Gloria Baker,8,3,8
2359,MEX,16/05/2021,Denise Alvarado,5,2,9
2360,UK,2/10/21,Jennifer Patel,10,4,10
2361,US,9/9/21,Edward Casey,9,3,10
2362,US,24/03/2021,Christina Neal,3,1,7
2363,US,21/01/2021,Amanda Smith,1,1,10
2364,MEX,31/10/2021,Lauren Smith,10,4,3
2365,US,13/06/2021,Lisa Rojas,6,2,5
2366,MEX,4/10/21,Miguel Dodson,10,4,10
2367,UK,19/11/2021,Kevin Williamson,11,4,8
2368,MEX,7/8/21,Clayton Simmons,8,3,10
2369,MEX,27/08/2021,Alexandra Davis,8,3,9
2370,MEX,21/02/2021,Shannon Moore,2,1,8
2371,MEX,8/7/21,Amanda Jones,7,3,5
2372,MEX,18/03/2021,Mary Taylor,3,1,3
2373,UK,27/06/2021,Mary Fox,6,2,8
2374,US,2/12/21,Hannah Hill,12,4,0
2375,UK,8/8/21,Jay Harris,8,3,10
2376,US,12/11/21,Scott Schneider,11,4,10
2377,MEX,17/10/2021,Sydney Morrow,10,4,9
2378,US,28/08/2021,Jennifer Melton,8,3,10
2379,MEX,9/4/21,Eric Keith,4,2,9
2380,US,7/5/21,Dr. John Perkins MD,5,2,10
2381,MEX,9/3/21,Jessica Nelson,3,1,9
2382,UK,19/01/2021,Jasmine Brady,1,1,8
2383,US,19/09/2021,Sarah Gomez,9,3,7
2384,UK,3/10/21,Dr. James Davila,10,4,8
2385,MEX,6/6/21,Lisa Kim,6,2,5
2386,US,2/11/21,Tyler Gonzalez,11,4,8
2387,US,18/01/2021,Ricky Evans,1,1,0
2388,US,10/11/21,Pamela Bonilla,11,4,0
2389,UK,5/11/21,Bradley Gomez,11,4,10
2390,MEX,8/8/21,Antonio Koch,8,3,0
2391,US,22/07/2021,Karen Mendez,7,3,6
2392,MEX,5/6/21,Sandra Robinson,6,2,10
2393,MEX,31/05/2021,Amy Sandoval,5,2,10
2394,MEX,13/11/2021,Regina White,11,4,10
2395,UK,2/10/21,David Russell,10,4,10
2396,UK,30/10/2021,Selena Ray,10,4,10
2397,UK,14/09/2021,Gerald Haas,9,3,8
2398,MEX,25/06/2021,Lynn Johnson,6,2,10
2399,US,23/08/2021,Tammie Davis,8,3,3
2400,UK,11/12/21,Crystal Garcia,12,4,10
2401,UK,16/09/2021,Abigail Morse,9,3,10
2402,MEX,28/06/2021,David Price,6,2,9
2403,MEX,7/2/21,Kayla Francis,2,1,9
2404,MEX,1/10/21,Brian Woods,10,4,0
2405,US,1/4/21,Melissa Washington,4,2,10
2406,US,26/10/2021,Daniel Perez,10,4,3
2407,UK,2/9/21,Heather Sims,9,3,5
2408,UK,3/1/21,Jenna Ross,1,1,10
2409,UK,26/05/2021,Dale Andrews,5,2,10
2410,UK,2/7/21,John Preston,7,3,10
2411,UK,28/06/2021,Jonathan Mitchell,6,2,9
2412,UK,13/11/2021,Juan Acevedo,11,4,6
2413,MEX,7/8/21,David Jones,8,3,0
2414,UK,16/01/2021,Andrew Jennings DVM,1,1,7
2415,UK,7/2/21,Brittany White,2,1,5
2416,UK,17/06/2021,Christina Archer,6,2,10
2417,UK,5/5/21,Maureen Rivera,5,2,6
2418,MEX,19/04/2021,Anthony Mcbride,4,2,0
2419,UK,10/7/21,Paul Wright,7,3,10
2420,MEX,1/8/21,Mark Newton,8,3,10
2421,US,7/9/21,Mr. John Nguyen,9,3,1
2422,UK,19/04/2021,Christopher Hunt,4,2,10
2423,UK,30/04/2021,Christopher Carpenter,4,2,8
2424,MEX,23/06/2021,Mrs. Jasmine Mclaughlin,6,2,10
2425,MEX,12/5/21,Carmen Salazar,5,2,10
2426,MEX,13/03/2021,John Flores,3,1,9
2427,MEX,18/10/2021,Amanda Campbell,10,4,0
2428,UK,2/9/21,Tracy Waters,9,3,6
2429,US,2/6/21,Teresa Nguyen,6,2,7
2430,MEX,6/7/21,Vincent Fernandez,7,3,10
2431,US,19/05/2021,Sean Cooper,5,2,4
2432,US,25/03/2021,Kim Barnes,3,1,10
2433,MEX,12/5/21,Robert Hawkins,5,2,0
2434,US,11/4/21,Nicole Santiago,4,2,5
2435,UK,28/03/2021,Hannah Avery,3,1,7
2436,US,10/5/21,Carol Franklin,5,2,10
2437,US,6/10/21,Dawn Day,10,4,10
2438,UK,10/12/21,George Jones,12,4,10
2439,UK,19/02/2021,Donna Torres,2,1,8
2440,MEX,12/11/21,David Cox,11,4,10
2441,MEX,17/09/2021,Matthew Thornton,9,3,9
2442,MEX,7/9/21,Jerry Carey,9,3,8
2443,MEX,2/7/21,Deborah Morris,7,3,8
2444,US,6/10/21,Austin Rose,10,4,7
2445,UK,10/11/21,Shannon Cordova,11,4,10
2446,UK,14/05/2021,Jessica Miller,5,2,5
2447,UK,10/1/21,Sharon Patterson,1,1,7
2448,MEX,17/02/2021,Michael Beck,2,1,8
2449,US,24/03/2021,Maria Thornton,3,1,3
2450,MEX,20/06/2021,Mark Davis Jr.,6,2,9
2451,UK,5/8/21,Howard Lynch,8,3,8
2452,US,20/03/2021,Jaime Chang,3,1,9
2453,MEX,4/1/21,Jacob Bradshaw,1,1,6
2454,MEX,7/3/21,Shannon Christian,3,1,5
2455,US,1/10/21,John Obrien,10,4,3
2456,MEX,19/01/2021,Sara Hernandez,1,1,0
2457,US,26/12/2021,Jason Barber,12,4,10
2458,MEX,5/1/21,Duane Blake,1,1,10
2459,US,29/12/2021,Laurie Walker,12,4,8
2460,UK,1/8/21,Breanna Medina,8,3,10
2461,UK,9/8/21,Monica Delgado,8,3,10
2462,UK,22/08/2021,Priscilla Morgan,8,3,7
2463,UK,15/05/2021,Matthew Carroll,5,2,6
2464,US,7/8/21,Rebecca Johnson,8,3,9
2465,MEX,26/09/2021,Anna Shields,9,3,10
2466,UK,2/9/21,Amanda Williams,9,3,10
2467,MEX,3/1/21,Carol Moore,1,1,8
2468,US,17/09/2021,Sean Sampson,9,3,7
2469,US,2/1/21,Allen Lang,1,1,5
2470,MEX,27/05/2021,Jennifer Allen,5,2,9
2471,UK,14/10/2021,Melissa Oliver,10,4,6
2472,US,25/12/2021,Sharon Mccarthy,12,4,3
2473,UK,12/3/21,Kristy Kramer,3,1,0
2474,US,3/10/21,Jonathon Thomas,10,4,5
2475,UK,19/01/2021,Crystal Lopez,1,1,8
2476,MEX,15/07/2021,Chris Chung,7,3,5
2477,MEX,14/02/2021,Joshua Juarez,2,1,10
2478,UK,14/08/2021,Dylan Garcia,8,3,5
2479,MEX,29/10/2021,Jose Joseph,10,4,5
2480,MEX,5/12/21,Troy Proctor,12,4,9
2481,US,19/04/2021,Molly Davis,4,2,0
2482,UK,29/08/2021,Alexandra Campbell,8,3,0
2483,MEX,2/1/21,Judy Tapia,1,1,3
2484,MEX,30/12/2021,Brandon Newman,12,4,10
2485,MEX,3/5/21,Michael Lowe,5,2,10
2486,UK,7/4/21,Jennifer Adams,4,2,7
2487,US,27/11/2021,Mary Dixon,11,4,8
2488,UK,15/05/2021,Megan Morse,5,2,4
2489,UK,6/9/21,David Montgomery,9,3,10
2490,UK,24/02/2021,Chase Greene,2,1,9
2491,MEX,9/7/21,Jamie Ramirez,7,3,10
2492,MEX,5/4/21,Brian Oliver,4,2,9
2493,MEX,6/8/21,Kathleen Rivera,8,3,8
2494,UK,30/10/2021,Cassandra Luna,10,4,3
2495,MEX,3/3/21,Lawrence Martin,3,1,0
2496,US,24/08/2021,Diana Smith,8,3,10
2497,UK,5/12/21,Pamela Reyes,12,4,8
2498,MEX,27/04/2021,Crystal Meza,4,2,8
2499,MEX,10/3/21,Aaron Garrison,3,1,10
2500,UK,26/07/2021,Danielle Thompson,7,3,10
2501,UK,26/09/2021,Scott Jackson,9,3,6
2502,UK,15/05/2021,Bailey Rose,5,2,8
2503,MEX,20/06/2021,Craig Gamble,6,2,10
2504,UK,10/12/21,Michael Lopez,12,4,4
2505,MEX,1/2/21,Victoria Huynh,2,1,10
2506,US,30/09/2021,Cheryl Cummings,9,3,10
2507,US,3/10/21,Jennifer Lloyd,10,4,8
2508,MEX,26/07/2021,Jacob Hebert,7,3,8
2509,MEX,24/01/2021,Laura Lee,1,1,6
2510,MEX,23/04/2021,Jose Green,4,2,10
2511,MEX,13/08/2021,Jason Ferguson,8,3,1
2512,US,4/8/21,Angela Price,8,3,8
2513,US,24/06/2021,Jacqueline Parker,6,2,10
2514,MEX,16/09/2021,Janet Martin,9,3,4
2515,US,18/10/2021,Sharon Hooper,10,4,0
2516,UK,29/05/2021,Cheyenne Raymond,5,2,10
2517,US,1/10/21,Kelsey Harrell,10,4,7
2518,UK,12/7/21,Matthew Shaw,7,3,10
2519,UK,1/8/21,Derek Ellis,8,3,10
2520,MEX,28/12/2021,Tiffany Flynn,12,4,7
2521,US,22/12/2021,Jeremy Flowers,12,4,9
2522,MEX,12/11/21,Deanna Gomez,11,4,8
2523,US,20/06/2021,Amy Harris,6,2,3
2524,UK,27/03/2021,Aaron Jones,3,1,10
2525,UK,26/12/2021,Austin Holland,12,4,9
2526,UK,8/3/21,Kristine Miller,3,1,9
2527,MEX,26/01/2021,Peggy Freeman,1,1,9
2528,UK,21/06/2021,Anthony Yoder,6,2,10
2529,US,13/12/2021,Jennifer Tyler,12,4,0
2530,US,5/9/21,Patricia Neal,9,3,8
2531,US,14/08/2021,Erika Mendez,8,3,1
2532,UK,24/03/2021,Jeremy Collins,3,1,10
2533,MEX,14/07/2021,Barbara Kim,7,3,10
2534,MEX,27/06/2021,Tracy Carr,6,2,8
2535,US,24/08/2021,Rhonda Stone,8,3,2
2536,UK,12/2/21,Francis Strickland,2,1,10
2537,US,7/8/21,Alex Wilcox MD,8,3,0
2538,MEX,5/5/21,Rebecca Rogers,5,2,2
2539,US,17/09/2021,Cesar Reynolds,9,3,9
2540,UK,20/09/2021,Linda Wong,9,3,3
2541,UK,5/12/21,Randy Reed,12,4,4
2542,UK,13/02/2021,Jamie Brown,2,1,10
2543,US,27/08/2021,Jason Garcia,8,3,0
2544,UK,19/01/2021,Mark Garner,1,1,6
2545,MEX,22/09/2021,Miss Heidi Nelson,9,3,7
2546,US,13/07/2021,Denise Douglas,7,3,3
2547,UK,26/11/2021,Heather Baker,11,4,1
2548,MEX,28/09/2021,Cory Fuentes,9,3,10
2549,UK,24/10/2021,Mr. Elijah Harmon,10,4,5
2550,MEX,10/8/21,Renee Moore,8,3,9
2551,US,2/5/21,Karen Wright DDS,5,2,0
2552,MEX,16/01/2021,Michael Collins,1,1,9
2553,MEX,9/9/21,Linda Jackson,9,3,0
2554,UK,26/10/2021,Robin Ho,10,4,9
2555,UK,16/11/2021,Bradley Peterson,11,4,8
2556,MEX,8/2/21,Thomas Peters,2,1,4
2557,UK,5/3/21,Jeffrey George,3,1,10
2558,UK,25/10/2021,Tammy Moore,10,4,4
2559,MEX,27/02/2021,Charles Mccoy,2,1,8
2560,MEX,25/08/2021,Laura Barnes DDS,8,3,10
2561,US,28/02/2021,Kimberly Castillo,2,1,5
2562,MEX,13/08/2021,Phillip Phillips,8,3,0
2563,US,8/5/21,Cameron May,5,2,8
2564,UK,5/2/21,Diana Smith,2,1,5
2565,MEX,12/1/21,Daisy Costa,1,1,10
2566,MEX,17/10/2021,Courtney Carson,10,4,9
2567,UK,10/12/21,Cassandra Thompson,12,4,3
2568,UK,10/3/21,Kimberly Yang,3,1,8
2569,US,4/3/21,Julie Thompson,3,1,10
2570,US,12/12/21,Vincent Quinn,12,4,4
2571,UK,13/11/2021,Travis Church,11,4,10
2572,UK,25/12/2021,Heidi Robertson,12,4,5
2573,MEX,1/3/21,Heidi Gonzalez,3,1,8
2574,US,16/11/2021,Jeffrey Herman,11,4,5
2575,MEX,12/2/21,Carl Nelson,2,1,10
2576,UK,1/12/21,Melissa Parker,12,4,10
2577,US,5/10/21,Daniel Hogan,10,4,10
2578,MEX,10/8/21,Victoria Rodgers,8,3,5
2579,US,18/11/2021,Phillip Daniels,11,4,0
2580,UK,20/07/2021,Julie Young,7,3,5
2581,UK,18/12/2021,Corey Wiley,12,4,0
2582,UK,19/01/2021,Sean Burgess,1,1,8
2583,UK,2/6/21,Christina Thompson,6,2,10
2584,MEX,18/12/2021,Mary Coleman,12,4,8
2585,MEX,27/01/2021,Phyllis Gibbs,1,1,10
2586,US,6/12/21,Bethany Murphy,12,4,7
2587,UK,1/1/21,Stephanie Ellis,1,1,10
2588,UK,8/4/21,Timothy Brooks,4,2,10
2589,MEX,23/05/2021,Andrea Turner,5,2,0
2590,MEX,7/7/21,Michelle Chapman,7,3,0
2591,MEX,18/07/2021,Chelsea Garcia,7,3,0
2592,US,13/11/2021,Joseph Cook,11,4,10
2593,MEX,16/02/2021,Heather Douglas,2,1,5
2594,US,19/01/2021,Phyllis Oliver,1,1,10
2595,MEX,26/06/2021,Collin Phillips,6,2,10
2596,MEX,10/4/21,Jeffrey Salinas,4,2,3
2597,UK,2/8/21,Raymond Miller,8,3,2
2598,US,2/2/21,John Lewis,2,1,10
2599,US,27/10/2021,Courtney Johnson,10,4,7
2600,UK,25/06/2021,Martha Hawkins,6,2,10
2601,US,1/2/21,Edwin Figueroa,2,1,7
2602,MEX,18/12/2021,Jennifer Burke,12,4,10
2603,MEX,24/09/2021,Gabriel Gomez,9,3,10
2604,UK,6/10/21,Kelly Morrison,10,4,9
2605,UK,24/07/2021,Hannah Lopez,7,3,10
2606,US,29/01/2021,Melissa Henry,1,1,9
2607,UK,9/7/21,Nicholas Wagner,7,3,10
2608,US,1/4/21,Larry Kirk,4,2,7
2609,MEX,12/6/21,Robert Beasley,6,2,10
2610,US,24/12/2021,Jessica White,12,4,10
2611,MEX,12/6/21,Jessica Davis,6,2,0
2612,US,29/10/2021,Krystal Kelley,10,4,8
2613,UK,26/08/2021,Lauren Richards,8,3,6
2614,UK,24/12/2021,Jessica Wilson,12,4,6
2615,US,17/05/2021,Julie Lambert,5,2,5
2616,US,19/10/2021,Vincent Roth,10,4,9
2617,US,21/03/2021,Yolanda Hill,3,1,10
2618,MEX,5/1/21,Julie Williams,1,1,0
2619,UK,18/12/2021,Dennis Riggs,12,4,5
2620,US,9/2/21,Mitchell Riddle,2,1,8
2621,US,21/03/2021,Kyle Smith,3,1,1
2622,US,2/7/21,Megan Lee,7,3,0
2623,US,29/11/2021,Monica Collins,11,4,1
2624,MEX,31/07/2021,Tyler Hall,7,3,10
2625,UK,2/12/21,Thomas Santos,12,4,10
2626,MEX,17/04/2021,Mr. Raymond Fisher,4,2,8
2627,US,3/9/21,Ashley Moore,9,3,10
2628,MEX,30/08/2021,Alyssa Stanton,8,3,9
2629,US,3/3/21,Johnny Bradley,3,1,10
2630,UK,13/05/2021,Adam Foster,5,2,7
2631,US,26/07/2021,Dennis Wilson,7,3,10
2632,US,26/12/2021,Dustin Martinez,12,4,10
2633,MEX,27/11/2021,Jonathan Hayes,11,4,9
2634,US,16/02/2021,Michael Collins,2,1,10
2635,US,28/03/2021,Paula May,3,1,9
2636,MEX,24/08/2021,Brent Powers,8,3,10
2637,MEX,6/7/21,Mrs. Eileen Lewis MD,7,3,9
2638,US,18/09/2021,William Ruiz,9,3,3
2639,UK,26/07/2021,Christina Morales,7,3,10
2640,US,15/01/2021,Brian Morris,1,1,9
2641,US,8/8/21,Jerry Jackson,8,3,10
2642,UK,31/07/2021,Nancy Cisneros,7,3,8
2643,MEX,10/11/21,Mary Reynolds,11,4,7
2644,UK,24/06/2021,Frederick Davenport,6,2,7
2645,UK,31/10/2021,Melissa Estrada,10,4,10
2646,US,30/10/2021,Patrick Wilson,10,4,8
2647,US,3/3/21,Laura Williams,3,1,10
2648,MEX,16/06/2021,Elizabeth Wise MD,6,2,9
2649,MEX,29/11/2021,Katie Hall,11,4,10
2650,UK,8/1/21,Amanda Hill,1,1,8
2651,UK,30/07/2021,Michael Schmitt,7,3,5
2652,UK,11/10/21,Susan Lee,10,4,9
2653,UK,10/7/21,Katherine Benson,7,3,10
2654,MEX,30/06/2021,Sandra Peterson,6,2,10
2655,MEX,23/05/2021,Kevin Mcgrath,5,2,5
2656,MEX,16/03/2021,Jerry Romero,3,1,3
2657,US,31/05/2021,Antonio Williams,5,2,4
2658,US,12/2/21,Natalie Wu,2,1,5
2659,MEX,6/8/21,James Rosario,8,3,8
2660,MEX,31/03/2021,Derek Evans,3,1,0
2661,UK,21/01/2021,Joseph Mccullough,1,1,0
2662,US,12/1/21,Zoe Santiago,1,1,8
2663,UK,17/06/2021,Melissa Perez,6,2,10
2664,US,11/3/21,Robert Baldwin,3,1,10
2665,UK,13/05/2021,Amanda Kennedy,5,2,10
2666,US,30/11/2021,Zachary Wolfe,11,4,0
2667,MEX,11/1/21,Andrew Turner,1,1,7
2668,US,16/01/2021,Angel Bailey,1,1,10
2669,MEX,7/10/21,Jared Edwards,10,4,6
2670,UK,15/08/2021,Lisa Reyes,8,3,9
2671,US,13/03/2021,Karen Spencer,3,1,9
2672,US,2/1/21,Kimberly Cruz DDS,1,1,1
2673,MEX,14/05/2021,Dakota Smith,5,2,0
2674,MEX,2/4/21,Amy Wall,4,2,10
2675,MEX,2/12/21,Daniel Jones,12,4,10
2676,US,21/06/2021,Alexis Reeves,6,2,1
2677,US,19/07/2021,Destiny Rivera,7,3,9
2678,US,23/12/2021,Austin Williams,12,4,10
2679,UK,7/4/21,Michael Zuniga,4,2,10
2680,MEX,16/08/2021,Rachel Wise,8,3,9
2681,US,5/7/21,Emily Vincent,7,3,10
2682,US,18/02/2021,Heather Torres,2,1,10
2683,US,15/07/2021,Sonia Deleon,7,3,10
2684,UK,29/07/2021,Cody Duffy,7,3,5
2685,UK,18/11/2021,Maria Schmidt,11,4,10
2686,US,7/9/21,Grace Green,9,3,10
2687,US,1/1/21,Juan Hendricks,1,1,8
2688,MEX,4/9/21,Dr. Nicholas Snow,9,3,8
2689,MEX,31/05/2021,Kara Clark,5,2,9
2690,US,20/11/2021,James Mccullough,11,4,9
2691,MEX,5/10/21,Sherry Delacruz,10,4,8
2692,US,14/09/2021,Melissa Cox,9,3,9
2693,MEX,4/11/21,Jeffery Mcfarland,11,4,0
2694,US,26/12/2021,Ryan Manning,12,4,9
2695,US,8/7/21,Angel Hall,7,3,1
2696,US,16/08/2021,Jennifer Singh,8,3,10
2697,UK,29/06/2021,Amy Jackson,6,2,10
2698,UK,4/8/21,James Clark,8,3,3
2699,US,8/11/21,Timothy Cruz,11,4,10
2700,MEX,28/05/2021,Amanda Oliver,5,2,10
2701,US,28/01/2021,Angela Brown,1,1,3
2702,MEX,4/12/21,Jennifer Brown,12,4,10
2703,MEX,16/04/2021,Dr. Amanda Ali MD,4,2,8
2704,MEX,25/08/2021,Heather Noble,8,3,0
2705,UK,14/04/2021,Robert Harrison,4,2,10
2706,UK,12/10/21,Jordan Harrell,10,4,9
2707,US,26/09/2021,Raymond Reed,9,3,9
2708,MEX,26/09/2021,Jerry Smith,9,3,9
2709,MEX,2/4/21,Gerald Rodriguez,4,2,10
2710,MEX,16/03/2021,Beverly Rodriguez,3,1,10
2711,MEX,17/05/2021,Laura Esparza DDS,5,2,7
2712,US,12/2/21,Jessica Turner,2,1,0
2713,MEX,16/08/2021,Michael Smith,8,3,7
2714,UK,19/06/2021,Tiffany Robinson,6,2,3
2715,UK,1/12/21,Martha Nunez,12,4,9
2716,US,17/04/2021,Jonathon Porter,4,2,1
2717,US,15/10/2021,Jeffery Carter,10,4,0
2718,US,18/02/2021,Elizabeth Knight,2,1,8
2719,MEX,17/03/2021,Monique Moore,3,1,5
2720,UK,6/2/21,Kristine Patton,2,1,9
2721,US,17/10/2021,Dr. Christopher Love DDS,10,4,10
2722,MEX,12/12/21,Michael Hall,12,4,10
2723,UK,4/5/21,Peter Ramirez,5,2,10
2724,UK,7/8/21,Shannon Shepherd,8,3,3
2725,US,16/11/2021,Kayla Vega,11,4,9
2726,MEX,4/1/21,Leslie Baker,1,1,9
2727,MEX,13/06/2021,Daniel Walls,6,2,9
2728,US,15/05/2021,Sydney Rodriguez,5,2,10
2729,MEX,2/11/21,Brittany Smith,11,4,4
2730,MEX,12/10/21,Maria Keller,10,4,8
2731,MEX,20/08/2021,Christian Sexton,8,3,10
2732,UK,24/02/2021,David Beck,2,1,0
2733,US,16/12/2021,Michael Blair Jr.,12,4,1
2734,US,23/12/2021,Kevin Cervantes,12,4,9
2735,US,30/10/2021,Joshua Edwards,10,4,0
2736,US,4/3/21,Frank Robinson,3,1,3
2737,US,20/02/2021,Joshua Strickland,2,1,10
2738,US,13/03/2021,Kenneth Martin,3,1,9
2739,US,7/7/21,Debra Jones,7,3,3
2740,US,9/11/21,Melissa Stanton,11,4,0
2741,UK,14/01/2021,Nathaniel Soto,1,1,8
2742,UK,2/6/21,Tammy Neal,6,2,5
2743,US,3/6/21,Tammy Mccoy,6,2,10
2744,US,15/06/2021,Michael Nichols,6,2,9
2745,UK,21/11/2021,Stephen Hansen,11,4,8
2746,US,8/1/21,Chad Coleman,1,1,9
2747,UK,4/10/21,Joseph Howard,10,4,7
2748,UK,28/06/2021,Mr. Timothy Peck,6,2,6
